village_code,gat_number,info,geometry_text,geometry_text_transformed,geometry_geojson
RVM2506272500060310710000,100,,"MULTIPOLYGON(((344937.4017337838 2060519.6996162154,344941.0180676007 2060505.5767181595,344896.8017014254 2060423.3927881427,344875.25864841207 2060364.7479821173,344826.0598237843 2060366.3010277818,344811.2106858657 2060367.2084407476,344815.33976213797 2060392.045830072,344814.7636860856 2060408.4224569919,344838.6773097968 2060531.988498443,344900.1993017351 2060529.0441993182,344937.4017337838 2060519.6996162154)))","MULTIPOLYGON (((73.53006786912255 18.62996022231903, 73.53010323938749 18.629832889014743, 73.52969057425659 18.629087077646034, 73.52949096295598 18.62855562272321, 73.52902457414359 18.62856600892673, 73.52888377505961 18.62857310689649, 73.52892097624022 18.62879781999489, 73.5289142434141 18.628945740939812, 73.52913127289106 18.63006393865356, 73.52971456433754 18.63004189539456, 73.53006786912255 18.62996022231903)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.53006786912255,18.62996022231903],[73.53010323938749,18.629832889014743],[73.52969057425659,18.629087077646034],[73.52949096295598,18.62855562272321],[73.52902457414359,18.62856600892673],[73.52888377505961,18.62857310689649],[73.52892097624022,18.62879781999489],[73.5289142434141,18.628945740939812],[73.52913127289106,18.63006393865356],[73.52971456433754,18.63004189539456],[73.53006786912255,18.62996022231903]]]]}"
RVM2506272500060310710000,101,,"MULTIPOLYGON(((344875.25864841207 2060364.7479821173,344870.3343701328 2060351.4812022366,344853.2878569998 2060312.6490655567,344819.01177483826 2060321.0358473628,344826.0598237843 2060366.3010277818,344875.25864841207 2060364.7479821173)))","MULTIPOLYGON (((73.52949096295598 18.62855562272321, 73.52944532553022 18.628435391832546, 73.52928679026384 18.628083278404908, 73.52896129722036 18.628156513372208, 73.52902457414359 18.62856600892673, 73.52949096295598 18.62855562272321)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52949096295598,18.62855562272321],[73.52944532553022,18.628435391832546],[73.52928679026384,18.628083278404908],[73.52896129722036,18.628156513372208],[73.52902457414359,18.62856600892673],[73.52949096295598,18.62855562272321]]]]}"
RVM2506272500060310710000,102,,"MULTIPOLYGON(((344853.2878569998 2060312.6490655567,344851.19539448386 2060305.8471914087,344874.7345619018 2060307.6666092486,344866.0734628192 2060256.1919976792,344828.47120176326 2060229.3564254337,344819.01177483826 2060321.0358473628,344853.2878569998 2060312.6490655567)))","MULTIPOLYGON (((73.52928679026384 18.628083278404908, 73.52926748825878 18.628021668070826, 73.52949043205342 18.628039850673144, 73.52941234951237 18.627574133140136, 73.52905807265358 18.627328886112927, 73.52896129722036 18.628156513372208, 73.52928679026384 18.628083278404908)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52928679026384,18.628083278404908],[73.52926748825878,18.628021668070826],[73.52949043205342,18.628039850673144],[73.52941234951237,18.627574133140136],[73.52905807265358,18.627328886112927],[73.52896129722036,18.628156513372208],[73.52928679026384,18.628083278404908]]]]}"
RVM2506272500060310710000,103,,"MULTIPOLYGON(((344880.6782309035 2060205.3410927774,344894.60745881696 2060177.1724872885,344886.2656355971 2060151.9792469745,344872.47018177126 2060134.9647710475,344856.93818473886 2060142.5378800642,344835.500695999 2060147.5046387527,344825.6168839575 2060227.1400020944,344828.47120176326 2060229.3564254337,344866.0734628192 2060256.1919976792,344865.7240219065 2060254.115201559,344880.6782309035 2060205.3410927774)))","MULTIPOLYGON (((73.52955471273343 18.627115774463476, 73.52968891061427 18.62686230139299, 73.52961181160082 18.626634061172762, 73.52948239262625 18.626479312511456, 73.52933460571892 18.626546585277367, 73.52913105427339 18.62658987182147, 73.5290311941418 18.62730864909014, 73.52905807265358 18.627328886112927, 73.52941234951237 18.627574133140136, 73.52940919919925 18.627555343286975, 73.52955471273343 18.627115774463476)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52955471273343,18.627115774463476],[73.52968891061427,18.62686230139299],[73.52961181160082,18.626634061172762],[73.52948239262625,18.626479312511456],[73.52933460571892,18.626546585277367],[73.52913105427339,18.62658987182147],[73.5290311941418,18.62730864909014],[73.52905807265358,18.627328886112927],[73.52941234951237,18.627574133140136],[73.52940919919925,18.627555343286975],[73.52955471273343,18.627115774463476]]]]}"
RVM2506272500060310710000,104,,"MULTIPOLYGON(((344826.0598237843 2060366.3010277818,344819.01177483826 2060321.0358473628,344828.47120176326 2060229.3564254337,344825.6168839575 2060227.1400020944,344835.500695999 2060147.5046387527,344813.8024972721 2060152.2743322093,344783.08138004865 2060145.4689496558,344803.0090689965 2060244.6268835452,344790.2633642631 2060250.292006946,344762.051880492 2060254.8321325702,344811.2106858657 2060367.2084407476,344826.0598237843 2060366.3010277818)))","MULTIPOLYGON (((73.52902457414359 18.62856600892673, 73.52896129722036 18.628156513372208, 73.52905807265358 18.627328886112927, 73.5290311941418 18.62730864909014, 73.52913105427339 18.62658987182147, 73.52892504728194 18.62663135832218, 73.52863442895985 18.62656759438874, 73.52881557698866 18.627464968440005, 73.52869434346643 18.62751520838665, 73.5284266256731 18.627554137290346, 73.52888377505961 18.62857310689649, 73.52902457414359 18.62856600892673)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52902457414359,18.62856600892673],[73.52896129722036,18.628156513372208],[73.52905807265358,18.627328886112927],[73.5290311941418,18.62730864909014],[73.52913105427339,18.62658987182147],[73.52892504728194,18.62663135832218],[73.52863442895985,18.62656759438874],[73.52881557698866,18.627464968440005],[73.52869434346643,18.62751520838665],[73.5284266256731,18.627554137290346],[73.52888377505961,18.62857310689649],[73.52902457414359,18.62856600892673]]]]}"
RVM2506272500060310710000,105,,"MULTIPOLYGON(((344783.08138004865 2060145.4689496558,344767.7541886501 2060145.0330782176,344790.2633642631 2060250.292006946,344803.0090689965 2060244.6268835452,344783.08138004865 2060145.4689496558)))","MULTIPOLYGON (((73.52863442895985 18.62656759438874, 73.52848920542218 18.626562520099597, 73.52869434346643 18.62751520838665, 73.52881557698866 18.627464968440005, 73.52863442895985 18.62656759438874)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52863442895985,18.62656759438874],[73.52848920542218,18.626562520099597],[73.52869434346643,18.62751520838665],[73.52881557698866,18.627464968440005],[73.52863442895985,18.62656759438874]]]]}"
RVM2506272500060310710000,106,,"MULTIPOLYGON(((344790.2633642631 2060250.292006946,344767.7541886501 2060145.0330782176,344752.0666000547 2060146.1231811827,344734.49176349404 2060162.4474332249,344738.37620543723 2060163.7062865687,344739.19187255774 2060177.2390393012,344751.59710993443 2060228.3561589178,344762.051880492 2060254.8321325702,344790.2633642631 2060250.292006946)))","MULTIPOLYGON (((73.52869434346643 18.62751520838665, 73.52848920542218 18.626562520099597, 73.52834044771029 18.62657120623433, 73.52817261950169 18.62671739360167, 73.5282093348934 18.626729055422864, 73.5282160125714 18.626851384986956, 73.52832960318685 18.627314150447557, 73.5284266256731 18.627554137290346, 73.52869434346643 18.62751520838665)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52869434346643,18.62751520838665],[73.52848920542218,18.626562520099597],[73.52834044771029,18.62657120623433],[73.52817261950169,18.62671739360167],[73.5282093348934,18.626729055422864],[73.5282160125714,18.626851384986956],[73.52832960318685,18.627314150447557],[73.5284266256731,18.627554137290346],[73.52869434346643,18.62751520838665]]]]}"
RVM2506272500060310710000,107,,"MULTIPOLYGON(((344751.59710993443 2060228.3561589178,344739.19187255774 2060177.2390393012,344738.37620543723 2060163.7062865687,344734.49176349404 2060162.4474332249,344692.8745651889 2060148.9603131413,344659.84955286013 2060160.7239869232,344701.3029411753 2060239.288620061,344751.59710993443 2060228.3561589178)))","MULTIPOLYGON (((73.52832960318685 18.627314150447557, 73.5282160125714 18.626851384986956, 73.5282093348934 18.626729055422864, 73.52817261950169 18.62671739360167, 73.52777925787562 18.626592450593357, 73.52746536103045 18.62669628629795, 73.5278521075042 18.627409196224747, 73.52832960318685 18.627314150447557)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52832960318685,18.627314150447557],[73.5282160125714,18.626851384986956],[73.5282093348934,18.626729055422864],[73.52817261950169,18.62671739360167],[73.52777925787562,18.626592450593357],[73.52746536103045,18.62669628629795],[73.5278521075042,18.627409196224747],[73.52832960318685,18.627314150447557]]]]}"
RVM2506272500060310710000,108,,"MULTIPOLYGON(((344719.3134723758 2060254.4162370407,344701.3029411753 2060239.288620061,344659.84955286013 2060160.7239869232,344609.11378537567 2060177.7394010876,344651.6690358267 2060228.2021919808,344651.13499923004 2060242.3658253127,344658.18407751434 2060262.1790959889,344661.40085155284 2060277.7126205068,344719.3134723758 2060254.4162370407)))","MULTIPOLYGON (((73.52802161929256 18.62754721066831, 73.5278521075042 18.627409196224747, 73.52746536103045 18.62669628629795, 73.52698320821504 18.626846256951456, 73.5273825823194 18.62730534807924, 73.52737641895489 18.627433277525736, 73.52744168229943 18.627612814287296, 73.52747095940832 18.627753399027807, 73.52802161929256 18.62754721066831)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52802161929256,18.62754721066831],[73.5278521075042,18.627409196224747],[73.52746536103045,18.62669628629795],[73.52698320821504,18.626846256951456],[73.5273825823194,18.62730534807924],[73.52737641895489,18.627433277525736],[73.52744168229943,18.627612814287296],[73.52747095940832,18.627753399027807],[73.52802161929256,18.62754721066831]]]]}"
RVM2506272500060310710000,109,,"MULTIPOLYGON(((344726.40766054124 2060305.1594094592,344735.76723449735 2060289.40914846,344722.0491425615 2060255.9884916549,344719.3134723758 2060254.4162370407,344661.40085155284 2060277.7126205068,344706.60703722615 2060335.7554714438,344726.40766054124 2060305.1594094592)))","MULTIPOLYGON (((73.52808490498441 18.628006203732383, 73.52817483246854 18.62786459342926, 73.5280474233741 18.627561618935484, 73.52802161929256 18.62754721066831, 73.52747095940832 18.627753399027807, 73.52789487055863 18.62828117212388, 73.52808490498441 18.628006203732383)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52808490498441,18.628006203732383],[73.52817483246854,18.62786459342926],[73.5280474233741,18.627561618935484],[73.52802161929256,18.62754721066831],[73.52747095940832,18.627753399027807],[73.52789487055863,18.62828117212388],[73.52808490498441,18.628006203732383]]]]}"
RVM2506272500060310710000,110,,"MULTIPOLYGON(((344706.60703722615 2060335.7554714438,344661.40085155284 2060277.7126205068,344646.3634005677 2060282.6488209504,344686.42839764693 2060345.2743865915,344706.60703722615 2060335.7554714438)))","MULTIPOLYGON (((73.52789487055863 18.62828117212388, 73.52747095940832 18.627753399027807, 73.52732806280524 18.62779688217935, 73.52770289294037 18.62836567925332, 73.52789487055863 18.62828117212388)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52789487055863,18.62828117212388],[73.52747095940832,18.627753399027807],[73.52732806280524,18.62779688217935],[73.52770289294037,18.62836567925332],[73.52789487055863,18.62828117212388]]]]}"
RVM2506272500060310710000,111,,"MULTIPOLYGON(((344686.42839764693 2060345.2743865915,344646.3634005677 2060282.6488209504,344628.33698504535 2060289.7869612002,344630.10217575874 2060316.292654585,344594.46690819913 2060331.7205673817,344595.13325524225 2060347.5735855158,344595.87914595916 2060370.5566385714,344635.02129768487 2060375.2747749921,344634.6504795728 2060371.813455553,344686.42839764693 2060345.2743865915)))","MULTIPOLYGON (((73.52770289294037 18.62836567925332, 73.52732806280524 18.62779688217935, 73.52715666782072 18.62786003805076, 73.5271713337876 18.62809964913203, 73.52683241065428 18.62823639640805, 73.52683749154247 18.628379678550534, 73.52684277117878 18.628587386759055, 73.52721336242588 18.62863292016847, 73.52721011751484 18.628601619481522, 73.52770289294037 18.62836567925332)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52770289294037,18.62836567925332],[73.52732806280524,18.62779688217935],[73.52715666782072,18.62786003805076],[73.5271713337876,18.62809964913203],[73.52683241065428,18.62823639640805],[73.52683749154247,18.628379678550534],[73.52684277117878,18.628587386759055],[73.52721336242588,18.62863292016847],[73.52721011751484,18.628601619481522],[73.52770289294037,18.62836567925332]]]]}"
RVM2506272500060310710000,112,,"MULTIPOLYGON(((344628.33698504535 2060289.7869612002,344646.3634005677 2060282.6488209504,344661.40085155284 2060277.7126205068,344658.18407751434 2060262.1790959889,344651.13499923004 2060242.3658253127,344651.6690358267 2060228.2021919808,344609.11378537567 2060177.7394010876,344593.31509810936 2060183.086699982,344618.0280840008 2060294.2518923038,344628.33698504535 2060289.7869612002)))","MULTIPOLYGON (((73.52715666782072 18.62786003805076, 73.52732806280524 18.62779688217935, 73.52747095940832 18.627753399027807, 73.52744168229943 18.627612814287296, 73.52737641895489 18.627433277525736, 73.5273825823194 18.62730534807924, 73.52698320821504 18.626846256951456, 73.52683306596374 18.62689339757694, 73.52705862104058 18.627899613916238, 73.52715666782072 18.62786003805076)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52715666782072,18.62786003805076],[73.52732806280524,18.62779688217935],[73.52747095940832,18.627753399027807],[73.52744168229943,18.627612814287296],[73.52737641895489,18.627433277525736],[73.5273825823194,18.62730534807924],[73.52698320821504,18.626846256951456],[73.52683306596374,18.62689339757694],[73.52705862104058,18.627899613916238],[73.52715666782072,18.62786003805076]]]]}"
RVM2506272500060310710000,113,,"MULTIPOLYGON(((344618.0280840008 2060294.2518923038,344593.31509810936 2060183.086699982,344576.5237474021 2060189.0566038257,344598.4918984808 2060302.2479796356,344618.0280840008 2060294.2518923038)))","MULTIPOLYGON (((73.52705862104058 18.627899613916238, 73.52683306596374 18.62689339757694, 73.52667346757424 18.62694608965948, 73.52687285072064 18.62797040906405, 73.52705862104058 18.627899613916238)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52705862104058,18.627899613916238],[73.52683306596374,18.62689339757694],[73.52667346757424,18.62694608965948],[73.52687285072064,18.62797040906405],[73.52705862104058,18.627899613916238]]]]}"
RVM2506272500060310710000,114,,"MULTIPOLYGON(((344598.4918984808 2060302.2479796356,344576.5237474021 2060189.0566038257,344541.1024629044 2060202.2260963388,344547.8026566453 2060223.4105517142,344539.8488569369 2060252.3874343901,344543.1915784903 2060272.770676991,344534.78014539916 2060306.104722593,344573.6583778871 2060313.1208921915,344598.4918984808 2060302.2479796356)))","MULTIPOLYGON (((73.52687285072064 18.62797040906405, 73.52667346757424 18.62694608965948, 73.5263367502863 18.627062447151456, 73.52639859919671 18.62725434700467, 73.52632096334167 18.627515563823795, 73.52635105545141 18.627699975426047, 73.52626874285511 18.628000525357525, 73.52663665246061 18.62806680303653, 73.52687285072064 18.62797040906405)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52687285072064,18.62797040906405],[73.52667346757424,18.62694608965948],[73.5263367502863,18.627062447151456],[73.52639859919671,18.62725434700467],[73.52632096334167,18.627515563823795],[73.52635105545141,18.627699975426047],[73.52626874285511,18.628000525357525],[73.52663665246061,18.62806680303653],[73.52687285072064,18.62797040906405]]]]}"
RVM2506272500060310710000,115,,"MULTIPOLYGON(((344543.1915784903 2060272.770676991,344464.92588147847 2060279.278311987,344467.4466445189 2060305.0604287235,344499.2213873806 2060299.0434864163,344534.78014539916 2060306.104722593,344543.1915784903 2060272.770676991)))","MULTIPOLYGON (((73.52635105545141 18.627699975426047, 73.52560881199551 18.62775295998453, 73.52563069285317 18.627986089620595, 73.52593229632673 18.62793408632426, 73.52626874285511 18.628000525357525, 73.52635105545141 18.627699975426047)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52635105545141,18.627699975426047],[73.52560881199551,18.62775295998453],[73.52563069285317,18.627986089620595],[73.52593229632673,18.62793408632426],[73.52626874285511,18.628000525357525],[73.52635105545141,18.627699975426047]]]]}"
RVM2506272500060310710000,116,,"MULTIPOLYGON(((344464.92588147847 2060279.278311987,344433.3360513435 2060289.4681111502,344435.7724802163 2060302.843874387,344458.3640304857 2060304.859151907,344467.4466445189 2060305.0604287235,344464.92588147847 2060279.278311987)))","MULTIPOLYGON (((73.52560881199551 18.62775295998453, 73.52530863603573 18.627842678429744, 73.52533068408222 18.627963709952542, 73.52554463103462 18.62798359639423, 73.52563069285317 18.627986089620595, 73.52560881199551 18.62775295998453)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52560881199551,18.62775295998453],[73.52530863603573,18.627842678429744],[73.52533068408222,18.627963709952542],[73.52554463103462,18.62798359639423],[73.52563069285317,18.627986089620595],[73.52560881199551,18.62775295998453]]]]}"
RVM2506272500060310710000,117,,"MULTIPOLYGON(((344464.92588147847 2060279.278311987,344543.1915784903 2060272.770676991,344539.8488569369 2060252.3874343901,344478.8333947237 2060252.6870533098,344421.20294147317 2060267.9486966408,344433.3360513435 2060289.4681111502,344464.92588147847 2060279.278311987)))","MULTIPOLYGON (((73.52560881199551 18.62775295998453, 73.52635105545141 18.627699975426047, 73.52632096334167 18.627515563823795, 73.52574268740574 18.627513739962787, 73.52519532574463 18.627647348265814, 73.52530863603573 18.627842678429744, 73.52560881199551 18.62775295998453)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52560881199551,18.62775295998453],[73.52635105545141,18.627699975426047],[73.52632096334167,18.627515563823795],[73.52574268740574,18.627513739962787],[73.52519532574463,18.627647348265814],[73.52530863603573,18.627842678429744],[73.52560881199551,18.62775295998453]]]]}"
RVM2506272500060310710000,118,,"MULTIPOLYGON(((344539.8488569369 2060252.3874343901,344547.8026566453 2060223.4105517142,344479.251558651 2060233.8924617537,344446.35989875277 2060252.8414399538,344416.75670881127 2060259.0992416907,344421.20294147317 2060267.9486966408,344478.8333947237 2060252.6870533098,344539.8488569369 2060252.3874343901)))","MULTIPOLYGON (((73.52632096334167 18.627515563823795, 73.52639859919671 18.62725434700467, 73.5257481146378 18.62734396116381, 73.52543491929617 18.62751272268741, 73.52515387784054 18.62756706275721, 73.52519532574463 18.627647348265814, 73.52574268740574 18.627513739962787, 73.52632096334167 18.627515563823795)))","{""type"":""MultiPolygon"",""coordinates"":[[[[73.52632096334167,18.627515563823795],[73.52639859919671,18.62725434700467],[73.5257481146378,18.62734396116381],[73.52543491929617,18.62751272268741],[73.52515387784054,18.62756706275721],[73.52519532574463,18.627647348265814],[73.52574268740574,18.627513739962787],[73.52632096334167,18.627515563823795]]]]}"
